Season,Episode No.,Episode No. (Overall),Title,Airdate,Rating,Votes,Viewership,Duration,Michael Scott (Steve Carell),About
5,15,80,Lecture Circuit: Part 2,2009-02-12,8.0,4721,8.89,30,True,"Michael and Pam go to Nashua and discover that Holly has a new boyfriend. At the office, Jim and Dwight try to come up with a theme for Kelly's birthday party, and Angela gets a new cat."
5,16,81,Blood Drive,2009-03-05,7.8,4654,8.63,22,True,"Michael holds a lonely hearts party on Valentine's Day at the office, hoping that he will run into a woman he met earlier that day at a blood drive. Meanwhile, Jim and Pam have an awkward lunch with Phillis and Bob Vance."
5,17,82,Golden Ticket,2009-03-12,8.5,5091,7.51,30,True,"Michael asks Dwight to be the scapegoat for one of his business ideas that backfired badly on him. But when that idea has an unexpected positive upside, Dwight still takes credit and Michael becomes furious."
5,18,83,New Boss,2009-03-19,8.1,4762,7.95,30,True,"Michael gets upset when he gets a new boss to act as a buffer between him and David Wallace, and he gets even more upset when he disbands the Party Planning Committee and cancels Michael's fifteenth anniversary party."
5,19,84,Two Weeks,2009-03-26,8.2,4710,8.45,30,True,"As Michael prepares to leave Dunder Mifflin, he announces that he will form his own paper company. Will anybody join him?"
5,20,85,Dream Team,2009-04-09,8.1,4722,7.2,30,True,Michael and Pam begin their first day as the Michael Scott Paper Company putting together the rest of the staff and trying to raise money.
5,21,86,Michael Scott Paper Company,2009-04-09,8.6,5149,7.94,22,True,"Tension and disillusionment begin to emerge as Michael, Pam, and Ryan move the Michael Scott Paper Company into a cramped ""workspace"" at the business park."
5,22,87,Heavy Competition,2009-04-16,8.5,4884,8.24,30,True,"Dwight chooses loyalty to Dunder Mifflin over loyalty to Michael, which leads to a bitter battle between Michael and Dwight over Dwight's accounts. Back at Dunder Mifflin, Jim pretends to confide in Andy."
5,23,88,Broke,2009-04-23,9.2,6603,7.21,30,True,"The Michael Scott Paper Company is gaining clients by offering lower prices than Dunder Mifflin, but is going broke in the process. However, Dunder Mifflin is losing clients to Michael, and is desperate to buy him out."
5,24,89,Casual Friday,2009-04-30,8.1,4690,7.31,22,True,"Michael returns to Dunder Mifflin and brings Ryan and Pam in as salespeople, but the existing salespeople demand that Michael return the clients they stole back to them. Meanwhile, some employees take the idea of Casual Friday too far."
5,25,90,Cafe Disco,2009-05-07,8.7,5580,7.71,30,True,"Michael tries to create a place to escape from work in the storage room that used to house the Michael Scott Paper Company, while Jim and Pam consider taking off and getting married that day."
5,26,91,Company Picnic,2009-05-14,8.9,5594,6.72,30,True,"Michael runs into Holly at the company picnic, and the two of them accidentally reveal that the Buffalo branch is closing during a comedy skit before corporate has made the announcement."
6,1,92,Gossip,2009-09-17,8.7,5542,8.2,30,True,"Michael regrets revealing that Stanley is having an affair, so he spreads a bunch of lies about everyone else to cover his tracks--except that one of the lies that he spread actually turns out to be true."
6,2,93,The Meeting,2009-09-24,7.9,4512,7.33,30,True,"Michael sabotages--then promotes--Jim's efforts at getting a promotion, while Dwight and Toby try to prove that Darryl has submitted a fraudulent medical claim."
6,3,94,The Promotion,2009-10-01,7.8,4491,7.28,30,True,Jim discovers just how hard being the boss can be when David Wallace forces Michael and him to determine which employees will be getting a raise.
6,4,95,Niagara: Part 1,2009-10-08,9.2,7857,9.42,30,True,"The Office travels to Niagara Falls to celebrate Jim and Pam's wedding under strict orders not to mention Pam's pregnancy. Michael, Dwight, and Andy all want to hook up with guests at the wedding and Michael and Dwight meet twins."
6,5,96,Niagara: Part 2,2009-10-08,9.4,7060,9.42,19,True,"Pam is forced to deal with an embarrassing injury for Andy the night before her wedding, while Kevin deals with the loss of his dress shoes on the morning of the ceremony."
6,6,97,Mafia,2009-10-15,7.5,4760,8.1,30,True,Michael meets with an insurance salesman that visits the office and is later convinced by Dwight and Andy that he is part of the mafia.
6,7,98,The Lover,2009-10-22,8.5,4968,8.52,30,True,"Jim and Pam return from their honeymoon and learn, to their horror, that Michael is dating Pam's mom. Meanwhile, Dwight gives Jim a ""gift""--which actually has a listening device attached to it."
6,8,99,Koi Pond,2009-10-29,8.0,4523,8.2,30,True,"Michael is upset when he becomes the butt of all the office jokes after he falls in a koi pond. Andy and Pam go out together on some cold calls, and everybody mistakes them as a married couple."
6,9,100,Double Date,2009-11-05,7.9,4486,7.94,30,True,"Michael sparks more anger from Pam when he breaks up with her mom on her birthday after he finds out she's 58, and Dwight unsuccessfully tries to get everyone in the office to owe him a favor."
6,10,101,Murder,2009-11-12,8.6,5406,7.76,23,True,"The entire office is preoccupied about rumors of Dunder Mifflin's bankruptcy. Michael tries to create a distraction by engaging everyone in murder-mystery game, but Jim wonders if that is a good idea."
6,11,102,Shareholder Meeting,2009-11-19,8.0,4519,7.43,30,True,"Michael speaks out of line at the Dunder Mifflin shareholders meeting and creates a big problem for management, while Jim discovers that nobody in the office thinks he's the real boss."
6,12,103,Scott's Tots,2009-12-03,8.2,5190,8.1,30,True,"Ten years ago, Michael promised a group of third graders he would pay for their college tuition if they graduated. Now comes time to pay, and he can't do it. At the office, Dwight's employee of the month idea gets Jim in big trouble."
6,13,104,Secret Santa,2009-12-10,8.4,4766,8.51,30,True,"Michael gets upset when Jim promises Phyllis that she can be the office Santa, but the office Christmas party may be overshadowed by some bad news from David Wallace."
6,14,105,The Banker,2010-01-21,6.7,5738,7.29,30,True,A banker representing a potential buyer comes to the Scranton branch to interview the H.R. department before the sale goes through.
6,15,106,Sabre,2010-02-04,7.5,4323,7.36,30,True,"Michael hates the changes that Dunder Mifflin's new owner is implementing, so he turns to David Wallace for advice. Jim and Pam find the perfect day care center, but Jim's mistake threatens to ruin the interview."
6,16,107,Manager and Salesman,2010-02-11,7.9,4262,7.4,30,True,"Sabre's CEO wants the Scranton branch to have one manager, and Michael voluntarily steps down and lets Jim become the boss when he finds out that salespeople make more money. However, he soon comes to regret the decision."
6,17,108,The Delivery: Part 1,2010-03-04,8.3,4572,9.0,30,True,"Pam goes into labor and Jim is ready to take her to the hospital, but she refuses to go. Meanwhile, inspired by Pam and Jim's baby, Dwight and Angela try to reach a ""business agreement"" to have a baby of their own."
6,18,109,The Delivery: Part 2,2010-03-04,8.4,4557,9.0,30,True,"After the baby is born, Pam has trouble getting the baby to breastfeed. At the office, Michael takes credit for hooking Jim and Pam up, and tries to do the same thing for Kevin and Erin, making Andy jealous."
6,19,110,St. Patrick's Day,2010-03-11,7.5,4199,7.51,30,True,"It's St. Patrick's Day, and the CEO forces the office to work late because she won't leave. In addition, Michael unsuccessfully tries to suck up to his new boss, and Andy and Erin's first date is delayed because Erin is sick."
6,20,111,New Leads,2010-03-18,7.6,4214,7.63,23,True,"When the sales staff begins trying to boss around everyone in the office, Michael tries to teach them a lesson by withholding a valuable set of sales leads."
6,21,112,Happy Hour,2010-03-25,8.4,4773,7.17,30,True,"Oscar gets everybody in the office to go to Happy Hour so that he can hit on a coworker in shipping. Pam tries to set up Michael with a friend at the bar, but Michael's alter ego, ""Date Mike,"" threatens to spoil the entire evening."
6,22,113,Secretary's Day,2010-04-22,7.7,4221,6.3,30,True,"Michael creates problems for Andy on Secretary's Day when he tells Erin that Andy was engaged to Angela, and Kevin is upset after Oscar makes a video comparing Kevin to Cookie Monster."
6,23,114,Body Language,2010-04-29,7.7,4214,7.01,30,True,"Michael is hopeful that a potential client is interested in him, but everyone in the office except Pam thinks he's wasting his time. Meanwhile, Dwight recruits Kelly to apply for the Sabre minority management training program."
6,24,115,The Cover-Up,2010-05-06,8.0,4272,6.84,30,True,"Michael becomes convinced that Donna is having an affair and puts Dwight on the case, but Pam soon discovers that the suspicions may be true. Meanwhile, Darryl gets revenge on Andy for an earlier incident."
6,25,116,The Chump,2010-05-13,7.6,4066,6.6,30,True,"Michael continues to see Donna even after learning she's married and meeting her husband, Dwight and Angela take their baby contract to an arbitrator, and Jim and Pam struggle to stay awake at the office."
6,26,117,Whistleblower,2010-05-20,7.8,4194,6.6,30,True,"Jo comes to the Scranton branch to find the whistle-blower. However, three different people have confessed to Michael, Michael is protecting them, and the person most people think is the culprit is keeping his mouth shut."
7,1,118,Nepotism,2010-09-23,8.2,4756,8.4,30,True,"Everybody demands that Michael fire the new office assistant, but he won't because he's his nephew. Meanwhile, Pam tries to play a prank on Dwight, who has bought the office building, to make up for ruining Jim's prank."
7,2,119,Counseling,2010-09-30,8.0,4366,7.36,30,True,"Michael is forced to go through counseling with Toby, Dwight seeks revenge on a local mall that refused his business, and Pam tries to fake her way to a promotion."
7,3,120,Andy's Play,2010-10-07,8.1,4673,6.95,30,True,"Andy invites the entire office to watch him in the community theater production of ""Sweeney Todd,"" but Erin decides to babysit for Jim and Pam instead, and Michael is upset because he auditioned for the lead and didn't get it."
7,4,121,Sex Ed,2010-10-14,7.7,4299,7.36,30,True,"A herpes scare causes Michael to get back in touch with his ex-girlfriends, where he decides to reevaluate those relationships. Meanwhile, Andy tries to teach safe sex to his officemates, but he has a clear ulterior motive."
7,5,122,The Sting,2010-10-21,7.6,4203,6.87,30,True,"Michael organizes a sting operation to find out the secrets of a rival paper company's salesman who is stealing Dunder Mifflin's clients, and Andy gets Darryl's help to form a band."
7,6,123,Costume Contest,2010-10-28,8.0,4342,8.07,30,True,"It's Halloween at Dunder Mifflin, and Michael is upset that Darryl went over his head with an idea, and Jim and Pam are obsessed with finding out why Danny didn't call Pam back when they were dating four years ago."
7,7,124,Christening,2010-11-04,7.2,4323,7.65,23,True,"During Jim and Pam's daughter's christening, Michael becomes upset over the lack of family-like unity between himself and his employees. So he responds by impulsively joining a teenage church mission to Mexico."
7,8,125,Viewing Party,2010-11-11,7.7,4282,7.15,30,True,"Michael sabotages Erin's ""Glee"" viewing party because of his contempt for Gabe, Jim and Pam discover that Dwight can keep their daughter from crying, and Andy has a bad reaction to a mixture of wine and a Japanese stimulant."
7,9,126,WUPHF.com,2010-11-18,7.5,4149,7.28,30,True,"Some co-workers who invested in Ryan's Internet venture want him to sell, but Michael refuses to go along. Meanwhile, Jim loses his motivation to work when he reaches his commission cap, and Dwight creates a hay festival in the parking lot."
7,10,127,China,2010-12-02,8.0,4395,7.31,30,True,"Pam stands up to Dwight when he makes cutbacks to save money in the building, but will Dwight have the last laugh? Meanwhile, the office is surprised and energized when Michael outsmarts Oscar in a debate about China."
7,11,128,Classy Christmas,2010-12-09,8.8,5501,7.18,60,True,"Michael throws an elaborate Christmas party to celebrate Holly's temporary return to the Scranton branch, but is disappointed when he learns that she still has a boyfriend."
7,12,129,Ultimatum,2011-01-20,8.1,4426,8.26,30,True,"Michael gets upset when Holly returns from the holidays without an engagement ring, but still together with her boyfriend. Meanwhile, Pam tries to help her co-workers keep with their New Year's resolutions."
7,13,130,The Seminar,2011-01-27,7.5,4210,7.93,30,True,"Andy tries to host a small business seminar at the office. Michael agrees to help by posing as a Greek entrepreneur, and tries to get Holly to play along."
7,14,131,The Search,2011-02-03,8.4,4650,7.29,30,True,"When Jim gets an emergency phone call from Helene, he is forced to leave Michael in the bathroom of a gas station. Meanwhile, Holly, Erin, and Dwight set out on a journey to find Michael. Back at the office, Pam's artwork starts a captioning contest that seems to offend Gabe."
7,15,132,PDA,2011-02-10,8.2,4528,6.9,22,True,"It's Valentine's Day, and the office is fed up with Michael and Holly's PDA, Andy helps Erin solve Gabe's riddles to find her gift, and Jim and Pam get drunk and try to find a place in the office to have sex."
7,16,133,Threat Level Midnight,2011-02-17,9.3,9319,6.41,30,True,"Michael finally finishes his movie ""Threat Level Midnight"" and screens it for his employees at Dunder Mifflin, but Holly is less than enthusiastic for his finished product."
7,17,134,Todd Packer,2011-02-24,7.3,4136,6.12,30,True,"Everyone is up in arms after Michael convinces Holly to give Todd Packer an office job, and Andy gets upset after Pam gets a new computer for reception but not for him."
7,18,135,Garage Sale,2011-03-24,9.3,7330,7.07,30,True,"Michael plans to propose to Holly the day of the Dunder Mifflin garage sale, but Holly may have to take an extended leave of absence to Colorado because her father is sick."
7,19,136,Training Day,2011-04-14,7.6,4278,7.87,30,True,"Michael makes fast friends with the man coming in to replace him at Dunder Mifflin, but later begins to have second thoughts after seeing him in action."
